"","obs.agr.alpha","est.alpha","ci.boot.alpha","X","Y"
"97.5%62",0.565301724137931,0.0873816950438059,0.117965073555746,"title_sentistrength","title_pattern"
"2.5%63",0.505387931034483,0.253735496794873,0.225137774510736,"title_sentistrength","title_polyglot"
"97.5%63",0.505387931034483,0.253735496794873,0.280178034541726,"title_sentistrength","title_polyglot"
"2.5%64",0.579094827586207,0.224743076719915,0.193232190846377,"title_sentistrength","title_DANEW"
"97.5%64",0.579094827586207,0.224743076719915,0.254273837428497,"title_sentistrength","title_DANEW"
"2.5%65",0.593318965517241,0.494682696063654,0.4717916363932,"title_sentistrength","title_top4"
"97.5%65",0.593318965517241,0.494682696063654,0.516682766295261,"title_sentistrength","title_top4"
"2.5%66",0.506896551724138,0.228868142938125,0.20005181482499,"title_pattern","title_polyglot"
"97.5%66",0.506896551724138,0.228868142938125,0.256203034620228,"title_pattern","title_polyglot"
"2.5%67",0.572198275862069,0.226878917849832,0.197627723286649,"title_pattern","title_DANEW"
"97.5%67",0.572198275862069,0.226878917849832,0.255547451989011,"title_pattern","title_DANEW"
"2.5%68",0.496120689655172,0.24442001525634,0.217290183761891,"title_pattern","title_top4"
"97.5%68",0.496120689655172,0.24442001525634,0.271235612557356,"title_pattern","title_top4"
"2.5%69",0.521336206896552,0.343909994997187,0.31738696222307,"title_polyglot","title_DANEW"
"97.5%69",0.521336206896552,0.343909994997187,0.370382484435393,"title_polyglot","title_DANEW"
"2.5%70",0.76573275862069,0.761701782219731,0.747409006644096,"title_polyglot","title_top4"
"97.5%70",0.76573275862069,0.761701782219731,0.775971208169602,"title_polyglot","title_top4"
"2.5%71",0.617025862068965,0.549100079732718,0.527685400680072,"title_DANEW","title_top4"
"97.5%71",0.617025862068965,0.549100079732718,0.569828272621603,"title_DANEW","title_top4"
